prompt,special,set,sheet
Ain't it nifty? Barb and Bob hit 50! So get off your ass and raise a glass to 50 years of ______.,,Absurd Box Expansion,CAH Expansions
Duuuuuuude. You have got to go to space. ______ is awesome in space.,,Absurd Box Expansion,CAH Expansions
"Five,
four,
three,
two,
one….
______!",,Absurd Box Expansion,CAH Expansions
"For hunting in the King's forest, I hereby sentence you to death by ______.",,Absurd Box Expansion,CAH Expansions
Give me ten good men and 48 hours. I'll get you ______.,,Absurd Box Expansion,CAH Expansions
"Goldfinger!
He's the man,
the man with _______.",,Absurd Box Expansion,CAH Expansions
"Goodbye, ______, hello _____!",PICK 2,Absurd Box Expansion,CAH Expansions
Here's a little something I learned in business school: The customer is always ______.,,Absurd Box Expansion,CAH Expansions
"Hey, honey.
For the bedroom, were you thinking, ""Robin's Egg Blue"" or ______Pink?""",,Absurd Box Expansion,CAH Expansions
"I hate this job.
I hate this place.
Most of all, I hate ______.
I quit.",,Absurd Box Expansion,CAH Expansions
"I have solved politics.
My solution is ______.",,Absurd Box Expansion,CAH Expansions
I so drunk I ______.,,Absurd Box Expansion,CAH Expansions
I swear to God I'm gonna murder my husband if he doesn't shut the fuck up about ______.,,Absurd Box Expansion,CAH Expansions
"In bookstores now: ""From ______ to ______: A memoir.""",PICK 2,Absurd Box Expansion,CAH Expansions
"In Radiohead's new single, Thom Yorke repeats the phrase ""______"" dozens of times over a skittering drum beat.",,Absurd Box Expansion,CAH Expansions
It's finally happening! I'm finally doing it! Yes! It's time for ______!,,Absurd Box Expansion,CAH Expansions
"It's late at night. You're in bed with your lover, Patrick Stewart. He leans over with a twinkle in his eye and asks ""How about ______?""",,Absurd Box Expansion,CAH Expansions
"It's the 21st century.
A woman shouldn't have to apologize for ______.",,Absurd Box Expansion,CAH Expansions
"Ladies and gentlemen, I propose a two-pronged plan. The first prong will be ______, and the second prong will be ______.",PICK 2,Absurd Box Expansion,CAH Expansions
"Live from Universal Studios, it's America's favorite game show! ""______ or ______?""",PICK 2,Absurd Box Expansion,CAH Expansions
"Millions of copies sold! Donald Trump's ""The Art of _______.""",,Absurd Box Expansion,CAH Expansions
New at TGI Fridays! It's what you've been waiting for: The ______ Burger.,,Absurd Box Expansion,CAH Expansions
"Oh no!
Here it comes!
Ohhhhh god!
It's ______.",,Absurd Box Expansion,CAH Expansions
"Oh you haaaaaaave to see this new documentary on Netflix. I don't want to give anything away, but let's just say it will change the way you look at ______.",,Absurd Box Expansion,CAH Expansions
"Oh, the weather outside is frightful. But ______ is so delightful.",,Absurd Box Expansion,CAH Expansions
"One, two, three and to the four, Snoop Doggy Dogg and Dr. Dre is ______.",,Absurd Box Expansion,CAH Expansions
Personal foul: ______. 15-yard penalty. Automatic first down.,,Absurd Box Expansion,CAH Expansions
"Rub a dub dub, ______ in a tub!",,Absurd Box Expansion,CAH Expansions
Say it loud! I'm ______ and I'm proud!,,Absurd Box Expansion,CAH Expansions
"Seriously guys, there's nothing funny about ______.",,Absurd Box Expansion,CAH Expansions
"Sweetheart, you and your sister escel in different ways. She's got her violin, and you've got ______.",,Absurd Box Expansion,CAH Expansions
That's bullshit! They can't fire me for _______!,,Absurd Box Expansion,CAH Expansions
The sequel is here! Get Ready for ______2: ______.,PICK 2,Absurd Box Expansion,CAH Expansions
"Times have changed, girlfriend. If you want to meet people in New York, you got to be down for _______.",,Absurd Box Expansion,CAH Expansions
"Unfortunately, no one can be told what ______ is. You have to experience it for yourself.",,Absurd Box Expansion,CAH Expansions
"What has my life become? I'm jerking off to a video called ""co-ed absolutely destroyed by ______.""",,Absurd Box Expansion,CAH Expansions
What sounds great after four margaritas?,,Absurd Box Expansion,CAH Expansions
"What's hot, smelly, and about to die?",,Absurd Box Expansion,CAH Expansions
What's secretly a Russian plot to destabilize the West?,,Absurd Box Expansion,CAH Expansions
"What's up, YouTube?
User DanTheMan wanted to see ______, so here we go.",,Absurd Box Expansion,CAH Expansions
Why did the chicken cross the road?,,Absurd Box Expansion,CAH Expansions
Why my mustache smell so bad?,,Absurd Box Expansion,CAH Expansions
"Yeah that's so hot.
I'm so close.
Talk about ______ again!
OH I'M CUMMING!",,Absurd Box Expansion,CAH Expansions
"You can call me David Copperfield, because I'm about to make ______ disappear.",,Absurd Box Expansion,CAH Expansions
You city folk would never understand the quiet dignity of _______.,,Absurd Box Expansion,CAH Expansions
______ would be woefully incomplete without ______.,PICK 2,CAH : Second Expansion,CAH Expansions
A remarkable new study has shown that chimps have evolved their own primitive version of ______.,,CAH : Second Expansion,CAH Expansions
"After months of debate, the Occupy Wall Street General Assembly could only agree on ""More ______!""",,CAH : Second Expansion,CAH Expansions
"Before ______, all we had was ______.",PICK 2,CAH : Second Expansion,CAH Expansions
"Before I run for president, I must destroy all evidence of my involvement with ______.",,CAH : Second Expansion,CAH Expansions
Charades was ruined for me forever when my mom had to act out ______.,,CAH : Second Expansion,CAH Expansions
"During his midlife crisis, my dad got really into ______.",,CAH : Second Expansion,CAH Expansions
Everyone down on the ground! We don't want to hurt anyone. We're just here for ______.,,CAH : Second Expansion,CAH Expansions
"I spent my whole life working toward ______, only to have it ruined by ______.",PICK 2,CAH : Second Expansion,CAH Expansions
"I went from ______ to ______, all thanks to ______.","DRAW 2, PICK 3",CAH : Second Expansion,CAH Expansions
"If God didn't want us to enjoy ______, he wouldn't have given us ______.",PICK 2,CAH : Second Expansion,CAH Expansions
"In his newest and most difficult stunt, David Blaine must escape from ______.",,CAH : Second Expansion,CAH Expansions
"Little Miss Muffet Sat on a tuffet, Eating her curds and ______.",,CAH : Second Expansion,CAH Expansions
Members of New York's social elite are paying thousands of dollars just to experience ______.,,CAH : Second Expansion,CAH Expansions
"My country, 'tis of thee, sweet land of ______.",,CAH : Second Expansion,CAH Expansions
My mom freaked out when she looked at my browser history and found ______.com/______.,PICK 2,CAH : Second Expansion,CAH Expansions
"My new favorite porn star is Joey ""______"" McGee.",,CAH : Second Expansion,CAH Expansions
Next time on Dr. Phil: How to talk to your child about ______.,,CAH : Second Expansion,CAH Expansions
Only two things in life are certain: death and ______.,,CAH : Second Expansion,CAH Expansions
"The Five Stages of Grief: denial, anger, bargaining, ______, acceptance.",,CAH : Second Expansion,CAH Expansions
The healing process began when I joined a support group for victims of ______.,,CAH : Second Expansion,CAH Expansions
"The votes are in, and the new high school mascot is ______.",,CAH : Second Expansion,CAH Expansions
This is your captain speaking. Fasten your seatbelts and prepare for ______.,,CAH : Second Expansion,CAH Expansions
"This month's Cosmo: ""Spice up your sex life by bringing ______ into the bedroom.""",,CAH : Second Expansion,CAH Expansions
Tonight on 20/20: What you don't know about ______ could kill you.,,CAH : Second Expansion,CAH Expansions
"What's harshing my mellow, man?",,CAH : Second Expansion,CAH Expansions
You haven't truly lived until you've experienced ______ and ______ at the same time.,PICK 2,CAH : Second Expansion,CAH Expansions
"Your persistence is admirable, my dear Prince. But you cannot win my heart with ______ alone.",,CAH : Second Expansion,CAH Expansions
"______ may pass, but ______ will last forever.",PICK 2,CAH: Blue Box Expansion,CAH Expansions
______ will never be the same after ______.,PICK 2,CAH: Blue Box Expansion,CAH Expansions
"""This is madness."" ""No, THIS IS ______!""",,CAH: Blue Box Expansion,CAH Expansions
"2 AM in the city that never sleeps. The door swings open and she walks in, legs up to here. Something in her eyes tells me she's looking for ______.",,CAH: Blue Box Expansion,CAH Expansions
"Adventure. Romance. ______. From Paramount Pictures, ""______.""",PICK 2,CAH: Blue Box Expansion,CAH Expansions
And today's soup is Cream of ______.,,CAH: Blue Box Expansion,CAH Expansions
"And would you like those buffalo wings mild, hot, or ______?",,CAH: Blue Box Expansion,CAH Expansions
"Armani suit: $1,000. Dinner for two at that swanky restaurant: $300. The look on her face when you surprise her with ______: priceless.",,CAH: Blue Box Expansion,CAH Expansions
"As king, how will I keep the peasants in line?",,CAH: Blue Box Expansion,CAH Expansions
Behind every powerful man is ______.,,CAH: Blue Box Expansion,CAH Expansions
"Come to Dubai, where you can relax in our world-famous spas, experience the nightlife, or simply enjoy ______ by the poolside.",,CAH: Blue Box Expansion,CAH Expansions
Dammit Gary. You can't just solve every problem with ______.,,CAH: Blue Box Expansion,CAH Expansions
"Dear Leader Kim Jong-un, our village praises your infinite wisdom with a humble offering of ______.",,CAH: Blue Box Expansion,CAH Expansions
Do not fuck with me! I am literally ______ right now.,,CAH: Blue Box Expansion,CAH Expansions
Do the Dew with our most extreme flavor yet! Get ready for Mountain Dew ______!,,CAH: Blue Box Expansion,CAH Expansions
Do you lack energy? Does it sometimes feel like the whole world is ______ ? Ask your doctor about Zoloft.®,,CAH: Blue Box Expansion,CAH Expansions
"Don't forget! Beginning this week, Casual Friday will officially become ""______ Friday.""",,CAH: Blue Box Expansion,CAH Expansions
Don't worry kid. It gets better. I've been living with ______ for 20 years.,,CAH: Blue Box Expansion,CAH Expansions
Every step towards ______ gets me a little bit closer to ______.,PICK 2,CAH: Blue Box Expansion,CAH Expansions
