response,set,sheet
A 12-foot scepter of bone.,Absurd Box Expansion,CAH Expansions
A basketball that screams every time it gets bounced.,Absurd Box Expansion,CAH Expansions
A bear.,Absurd Box Expansion,CAH Expansions
A big hole.,Absurd Box Expansion,CAH Expansions
A big hot fire that's burning everybody.,Absurd Box Expansion,CAH Expansions
"A big, big, big, and I mean BIG big.",Absurd Box Expansion,CAH Expansions
"A big, sloppy blowjob from a mean, tired cowboy.",Absurd Box Expansion,CAH Expansions
A bird that dies.,Absurd Box Expansion,CAH Expansions
A bold red lip.,Absurd Box Expansion,CAH Expansions
"A button that when you press it, there's jazz.",Absurd Box Expansion,CAH Expansions
A cat with… hands.,Absurd Box Expansion,CAH Expansions
A Christmas feast of goose and jellies.,Absurd Box Expansion,CAH Expansions
A concerning amount of white people.,Absurd Box Expansion,CAH Expansions
A couple of cold ones.,Absurd Box Expansion,CAH Expansions
A crab rangoon.,Absurd Box Expansion,CAH Expansions
A family of raccoons.,Absurd Box Expansion,CAH Expansions
A four-hour depression nap.,Absurd Box Expansion,CAH Expansions
A full-on panic attack.,Absurd Box Expansion,CAH Expansions
A garbage clown who makes no one laugh and should die.,Absurd Box Expansion,CAH Expansions
A hamburger on a string that keeps getting pulled away.,Absurd Box Expansion,CAH Expansions
A hateful 30-year marriage.,Absurd Box Expansion,CAH Expansions
A little boy with big dreams and potatoes for hands.,Absurd Box Expansion,CAH Expansions
A little girl with a knife.,Absurd Box Expansion,CAH Expansions
A little sewer girl strangling a pigeon.,Absurd Box Expansion,CAH Expansions
A little taste of penis.,Absurd Box Expansion,CAH Expansions
A magician fucking up over and over again.,Absurd Box Expansion,CAH Expansions
A penis that gets too hard and explodes blood.,Absurd Box Expansion,CAH Expansions
A piping-hot casserole filled with beans and hair.,Absurd Box Expansion,CAH Expansions
A poop emergency.,Absurd Box Expansion,CAH Expansions
A powerful philosopher named Brainhead.,Absurd Box Expansion,CAH Expansions
A Pringle.,Absurd Box Expansion,CAH Expansions
A Puerto Rican minotaur from the Bronx.,Absurd Box Expansion,CAH Expansions
A racist boomerang that only comes back if you're white.,Absurd Box Expansion,CAH Expansions
A real cum-dumpster of a saxophonist.,Absurd Box Expansion,CAH Expansions
A real job with insurance and your taxes taken out and everything.,Absurd Box Expansion,CAH Expansions
A sticky tree hole full of pancake sauce.,Absurd Box Expansion,CAH Expansions
A stinky hoo-ha.,Absurd Box Expansion,CAH Expansions
A toothless woman gumming on a peach.,Absurd Box Expansion,CAH Expansions
A urinary tract infection.,Absurd Box Expansion,CAH Expansions
A vagina that beatboxes when it's horny.,Absurd Box Expansion,CAH Expansions
A whole different way of talking called Spanish.,Absurd Box Expansion,CAH Expansions
